DR Number,Victim Age,Victim Sex,Victim Descent
130100508,39,F,H
130100521,50,F,B
130100539,24,M,H
130100545,18,M,W
130100548,45,F,H
130100569,46,M,W
130100572,49,F,B
130100580,36,F,W
130100595,56,F,O
130100597,26,M,H
130100634,57,M,H
130100648,29,F,H
130100683,50,M,B
130100704,29,M,H
130100728,21,F,H
130100763,38,F,H
130100767,73,M,H
130100771,19,M,H
130100773,37,M,W
130100790,58,M,W
130100804,59,F,H
130100832,22,M,W
130100846,70,M,W
130100864,24,M,H
130100886,52,M,B
130100897,41,M,H
130100903,66,M,O
130100936,36,M,W
130100943,42,M,H
130100949,53,M,H
130100955,43,M,W
130100956,24,F,H
130100979,20,F,H
130100980,18,M,H
130100983,62,M,B
130100985,25,M,H
130100995,51,M,H
130101036,32,F,H
130101050,45,F,H
130101053,54,M,W
130101058,49,M,B
130101099,52,F,W
130101103,34,M,H
130101106,58,M,B
130101135,53,M,W
130101150,12,F,B
130101165,27,F,B
130101171,25,M,B
130101179,49,M,B
130101180,43,M,W
130101189,27,M,H
130101194,54,M,B
130101209,39,F,O
130101211,57,F,W
130101213,49,M,B
130101214,44,M,B
130101237,49,M,W
130101239,47,M,H
130101242,28,M,H
102019318,59,M,W
130101260,22,F,W
130101261,29,M,W
130101268,45,F,H
130101275,45,F,H
112004812,39,M,H
130101297,23,M,H
130101309,46,M,W
130101326,59,F,B
130101327,56,M,B
130101331,22,F,H
130101336,41,M,O
130101353,52,M,H
130101361,36,M,H
130101368,24,F,H
130101389,27,F,H
130101390,36,F,W
130101395,31,F,W
130101396,35,M,H
130101415,41,F,B
130104030,25,F,H
130104053,38,M,W
130104096,27,F,H
130104097,50,M,H
130104098,48,M,B
130104149,55,M,H
130104152,22,F,A
130104154,57,M,B
130104193,55,M,B
130104231,27,F,H
130104320,36,F,B
130104344,75,M,A
130104353,25,F,H
130104354,38,M,H
130104362,53,M,B
130104411,65,M,O
130104427,58,M,H
130104444,49,F,H
130104451,36,F,B
130104494,46,M,B
130104499,46,M,W
101004412,26,M,O
130104533,52,M,B
130104582,55,F,B
130104586,30,F,H
130104614,19,M,H
130104627,22,M,H
130104669,21,M,H
130104679,45,M,H
130104694,31,M,H
130104708,53,F,B
130104731,21,F,H
130104845,59,F,B
130104878,58,M,H
130104889,48,M,B
130105026,24,M,O
130105027,52,F,H
130105052,32,M,H
130105100,50,F,W
130105106,57,M,H
130105111,29,M,B
130105144,53,F,W
130105149,55,M,H
130105169,27,M,B
130105173,57,F,B
130105199,63,M,H
130105217,56,F,W
130105261,38,M,B
130105267,37,M,H
130105356,40,M,B
130105363,49,M,W
130105365,27,M,B
130105394,45,M,B
130105442,49,M,B
130105451,52,F,B
130105480,22,M,B
101011499,41,M,H
101020943,60,F,O
130105551,24,M,H
130105566,57,M,B
130105583,59,M,B
130105678,33,M,H
130105695,50,F,H
130105741,43,M,W
130105756,64,F,B
130105778,70,M,O
130105809,22,F,B
130105870,40,M,H
130105936,33,F,W
130105943,54,F,B
130105955,51,M,B
130105993,40,M,W
130106018,31,F,W
130106037,40,M,B
130106042,65,F,W
130106044,31,M,B
130106097,29,M,H
130106099,23,M,H
130106108,21,M,H
130106113,21,F,H
130106146,60,M,B
130106214,71,M,O
130106277,26,M,W
101121210,17,M,H
130106340,30,F,H
130106351,33,M,H
130106353,36,M,W
130106400,29,F,B
130106401,31,M,W
130106413,35,M,B
130106425,32,M,H
130106434,19,F,H
130106435,25,F,B
130106436,62,F,H
130106440,62,F,W
102110308,24,M,H
102114186,44,F,B
130106441,31,M,B
130106442,58,M,B
130106489,16,F,H
130106496,50,F,B
130106504,58,M,O
130106583,29,M,W
130106605,33,M,H
130106623,29,F,W
130106646,19,F,B
130106661,30,M,W
130106667,19,F,W
130106707,58,M,B
130106770,27,F,B
130106777,31,F,H
130106793,32,M,W
130106827,50,F,B
130106838,24,M,W
130106839,46,M,H
130106846,49,M,H
130106852,20,M,H
130106890,44,F,W
130106902,40,M,O
130106907,65,M,H
130106928,21,M,H
130106929,48,M,W
130106937,44,M,B
130107009,24,M,H
130107016,59,F,W
101119991,35,M,H
130107099,21,M,W
130107105,20,M,H
130107106,27,M,H
130107107,31,M,H
130107108,28,M,H
130107109,19,M,H
130107121,26,M,O
130107136,55,F,H
130107165,28,F,H
130107195,30,M,W
130107258,21,M,H
130107274,43,F,B
130107296,49,F,B
130107340,56,F,B
130107346,31,F,H
130107362,57,M,H
130107367,50,F,W
130107389,60,F,B
130107397,33,M,W
130107412,28,M,W
130107415,30,F,H
130107441,19,F,W
130107474,56,M,B
130107487,39,F,B
130107496,25,M,H
130107556,22,M,H
130107568,48,F,B
130107573,55,F,B
130107632,32,F,A
130107643,55,M,B
130107669,13,F,H
130107670,35,M,H
130107672,43,M,H
130107673,32,F,H
130107677,31,F,B
130107678,39,M,B
130107693,23,M,H
130107767,51,M,W
130107775,38,M,B
130107785,46,F,B
130107824,45,M,A
130107839,30,M,H
130107851,18,F,H
130107859,30,M,H
130107868,48,F,B
130107877,31,M,H
130107909,25,M,B
130107916,22,M,H
130107924,31,M,H
130107944,31,M,H
130107945,23,F,H
130107986,69,M,W
130108052,40,M,B
130108061,60,F,H
130108103,28,M,W
130108111,43,M,H
130108128,58,M,B
130108244,37,M,H
130108302,18,F,H
130108309,53,M,O
130108356,56,M,B
130108373,39,F,H
130108376,34,F,O
130108384,44,F,O
130108385,32,M,B
130108432,54,M,W
130108446,50,M,H
130108502,35,M,B
100101421,36,M,H
100101422,34,M,H
130108550,35,M,B
130108580,57,M,O
130108582,22,F,H
130108590,22,M,H
130108629,25,M,W
130108636,23,M,H
130108668,30,F,B
130108703,51,M,B
130108706,39,F,H
130108724,39,F,B
130108743,51,M,A
130108744,35,M,W
130108795,53,M,B
130108799,55,F,H
130108816,51,M,B
130108818,23,F,O
130108822,58,M,W
130108871,36,M,B
130108879,55,F,H
130108898,31,F,O
130108906,43,M,B
130108916,10,M,B
130108951,48,F,B
130108952,60,M,B
130108970,59,M,B
130108972,42,F,O
130108999,35,M,H
130109074,29,M,H
130109084,57,M,B
130109100,54,F,H
130109101,28,M,H
130109109,48,F,B
130109112,24,M,H
130109113,25,F,H
130109114,28,F,B
130109139,34,F,B
130109225,19,M,B
130109255,20,F,B
130109267,26,M,H
130109269,55,M,B
130109274,53,M,H
130109305,47,F,B
130109308,28,M,B
130109321,56,M,B
130109324,57,F,B
130109325,55,F,B
130109339,21,M,H
130109384,51,F,B
130109396,41,F,H
130109399,30,F,H
130109452,39,M,H
130109467,41,F,H
130109473,31,M,H
130109481,35,F,B
130109510,24,F,H
130109518,24,M,H
130109602,49,M,B
130109531,18,M,H
130109532,18,M,B
130109566,55,M,B
130109572,30,M,H
130109619,52,M,W
130109628,56,F,B
130109637,38,F,B
130109672,56,M,B
130109674,60,F,H
130109675,71,M,O
130109677,17,F,H
130109709,60,M,B
130109710,49,M,H
130109712,18,M,H
130109739,51,M,O
130109764,44,M,B
130109771,36,M,W
130109798,31,F,W
130109920,46,M,H
130109949,24,M,H
130109953,48,F,W
130109963,52,F,O
130109984,70,M,H
130110051,26,F,B
130110055,21,F,H
130110056,26,F,B
130110061,29,F,H
130110095,54,M,W
130110112,37,M,B
130110115,37,M,H
130110184,53,M,B
130110283,67,F,H
130110300,31,M,H
130110317,48,M,B
130110321,53,F,H
130110365,55,F,B
130110373,38,M,W
130110414,20,F,A
130110415,58,M,B
130110444,75,M,B
130110445,26,M,W
130110458,22,M,H
130110464,25,F,B
130110478,41,M,B
130110553,20,F,B
130110554,27,F,B
130110575,33,M,W
130110623,58,F,B
130110626,26,F,H
130110637,34,M,H
130110659,25,M,H
130110736,37,F,W
130110752,31,M,H
130110803,32,M,B
130110833,53,M,B
130110850,41,M,B
130110857,70,M,H
130110860,52,F,B
130110863,27,M,B
130110881,47,M,H
130110887,23,M,H
130110927,35,M,H
130110959,52,M,W
130111006,44,F,H
130111010,54,F,B
130111025,53,M,H
130111030,28,M,W
130111037,33,F,B
130111084,19,M,H
130111088,42,M,H
130111220,23,M,B
130111245,57,M,B
130111248,75,M,W
130111267,36,F,O
130111295,55,M,O
130111316,27,F,O
130111321,56,F,W
130111401,53,M,B
130111423,47,M,H
130111428,51,M,B
130111491,14,M,B
130111500,51,M,B
130111508,56,M,B
130111510,54,M,O
130111524,35,M,B
130111532,41,M,H
130111552,62,M,B
130111582,29,M,H
130111621,64,F,B
130111641,42,F,B
