AreaID,PremiseCode,AreaName,PremiseDescription
1,101,Central,STREET
1,102,Central,SIDEWALK
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,101,Central,STREET
1,203,Central,"OTHER BUSINESS"
1,102,Central,SIDEWALK
1,203,Central,"OTHER BUSINESS"
1,406,Central,"OTHER STORE"
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,502,Central,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,101,Central,STREET
1,102,Central,SIDEWALK
1,110,Central,FREEWAY
1,102,Central,SIDEWALK
1,101,Central,STREET
1,101,Central,STREET
1,102,Central,SIDEWALK
1,109,Central,PARK/PLAYGROUND
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,101,Central,STREET
1,109,Central,PARK/PLAYGROUND
1,109,Central,PARK/PLAYGROUND
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,109,Central,PARK/PLAYGROUND
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,101,Central,STREET
1,101,Central,STREET
1,108,Central,"PARKING LOT"
1,102,Central,SIDEWALK
1,108,Central,"PARKING LOT"
1,102,Central,SIDEWALK
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
20,102,Olympic,SIDEWALK
1,109,Central,PARK/PLAYGROUND
1,101,Central,STREET
1,101,Central,STREET
1,102,Central,SIDEWALK
20,102,Olympic,SIDEWALK
1,108,Central,"PARKING LOT"
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,101,Central,STREET
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,102,Central,SIDEWALK
1,710,Central,"OTHER PREMISE"
1,735,Central,"NIGHT CLUB (OPEN EVENINGS ONLY)"
